student_id,topic,question_count,date
S0001,Linear Algebra,5,2025-10-17 13:55:37.168988
S0001,Probability,1,2025-09-23 13:55:37.168988
S0001,Statistics,2,2025-12-31 13:55:37.168988
S0001,ML Basics,3,2025-08-26 13:55:37.168988
S0001,Deep Learning,7,2025-07-21 13:55:37.168988
S0001,NLP,4,2025-10-04 13:55:37.168988
S0001,Computer Vision,6,2025-10-12 13:55:37.168988
S0001,Optimization,5,2025-09-06 13:55:37.168988
S0002,Linear Algebra,4,2025-09-18 13:55:37.168988
S0002,Probability,6,2025-11-07 13:55:37.168988
S0002,Statistics,5,2025-07-30 13:55:37.168988
S0002,ML Basics,5,2026-01-04 13:55:37.168988
S0002,Deep Learning,5,2025-12-23 13:55:37.168988
S0002,NLP,4,2025-12-03 13:55:37.168988
S0002,Computer Vision,7,2025-11-04 13:55:37.168988
S0002,Optimization,4,2026-01-02 13:55:37.168988
S0003,Linear Algebra,5,2025-09-04 13:55:37.168988
S0003,Probability,3,2025-10-03 13:55:37.168988
S0003,Statistics,5,2025-12-13 13:55:37.168988
S0003,ML Basics,2,2025-10-02 13:55:37.168988
S0003,Deep Learning,5,2025-10-28 13:55:37.168988
S0003,NLP,4,2025-10-08 13:55:37.168988
S0003,Computer Vision,4,2025-09-21 13:55:37.168988
S0003,Optimization,1,2025-07-30 13:55:37.168988
S0004,Linear Algebra,5,2025-11-19 13:55:37.168988
S0004,Probability,6,2025-12-24 13:55:37.168988
S0004,Statistics,5,2025-12-02 13:55:37.168988
S0004,ML Basics,3,2025-09-17 13:55:37.168988
S0004,Deep Learning,8,2025-10-07 13:55:37.168988
S0004,NLP,3,2025-11-30 13:55:37.168988
S0004,Computer Vision,5,2025-10-11 13:55:37.168988
S0004,Optimization,5,2025-11-06 13:55:37.168988
S0005,Linear Algebra,6,2025-10-07 13:55:37.168988
S0005,Probability,6,2025-07-27 13:55:37.168988
S0005,Statistics,5,2025-11-12 13:55:37.168988
S0005,ML Basics,5,2025-09-23 13:55:37.168988
S0005,Deep Learning,2,2025-12-01 13:55:37.168988
S0005,NLP,4,2025-08-14 13:55:37.168988
S0005,Computer Vision,3,2025-07-25 13:55:37.168988
S0005,Optimization,4,2025-12-12 13:55:37.168988
S0006,Linear Algebra,8,2026-01-06 13:55:37.168988
S0006,Probability,1,2025-12-05 13:55:37.168988
S0006,Statistics,0,2025-08-18 13:55:37.168988
S0006,ML Basics,4,2025-12-21 13:55:37.168988
S0006,Deep Learning,5,2025-10-28 13:55:37.168988
S0006,NLP,4,2025-09-21 13:55:37.168988
S0006,Computer Vision,6,2025-12-14 13:55:37.168988
S0006,Optimization,6,2026-01-13 13:55:37.168988
S0007,Linear Algebra,3,2025-11-22 13:55:37.168988
S0007,Probability,5,2025-12-18 13:55:37.168988
S0007,Statistics,7,2025-10-08 13:55:37.168988
S0007,ML Basics,4,2025-11-15 13:55:37.168988
S0007,Deep Learning,8,2025-10-09 13:55:37.168988
S0007,NLP,4,2026-01-07 13:55:37.168988
S0007,Computer Vision,5,2025-11-04 13:55:37.168988
S0007,Optimization,2,2026-01-07 13:55:37.168988
S0008,Linear Algebra,0,2025-10-26 13:55:37.168988
S0008,Probability,2,2025-12-21 13:55:37.168988
S0008,Statistics,4,2025-10-29 13:55:37.168988
S0008,ML Basics,5,2025-08-17 13:55:37.168988
S0008,Deep Learning,7,2025-08-20 13:55:37.168988
S0008,NLP,5,2025-09-17 13:55:37.168988
S0008,Computer Vision,4,2025-09-04 13:55:37.168988
S0008,Optimization,7,2026-01-16 13:55:37.168988
S0009,Linear Algebra,1,2025-08-24 13:55:37.168988
S0009,Probability,2,2025-12-26 13:55:37.168988
S0009,Statistics,4,2026-01-03 13:55:37.168988
S0009,ML Basics,3,2025-10-09 13:55:37.168988
S0009,Deep Learning,5,2025-11-30 13:55:37.168988
S0009,NLP,7,2025-08-10 13:55:37.168988
S0009,Computer Vision,4,2025-07-29 13:55:37.168988
S0009,Optimization,3,2025-10-02 13:55:37.168988
S0010,Linear Algebra,3,2025-08-01 13:55:37.168988
S0010,Probability,3,2025-11-24 13:55:37.168988
S0010,Statistics,1,2025-08-26 13:55:37.168988
S0010,ML Basics,6,2025-08-20 13:55:37.168988
S0010,Deep Learning,6,2025-09-10 13:55:37.168988
S0010,NLP,3,2025-11-14 13:55:37.168988
S0010,Computer Vision,7,2025-09-30 13:55:37.168988
S0010,Optimization,2,2025-09-01 13:55:37.168988
S0011,Linear Algebra,3,2025-09-19 13:55:37.168988
S0011,Probability,2,2025-08-24 13:55:37.168988
S0011,Statistics,4,2025-08-08 13:55:37.168988
