student_id,quiz_id,topic,score,max_score,date
S0001,QZ_LIN,Linear Algebra,62,100,2025-07-27 13:55:37.168988
S0001,QZ_LIN,Linear Algebra,83,100,2025-10-10 13:55:37.168988
S0001,QZ_LIN,Linear Algebra,72,100,2025-09-20 13:55:37.168988
S0001,QZ_LIN,Linear Algebra,44,100,2025-09-21 13:55:37.168988
S0001,QZ_PRO,Probability,34,100,2025-10-21 13:55:37.168988
S0001,QZ_PRO,Probability,99,100,2025-09-24 13:55:37.168988
S0001,QZ_STA,Statistics,98,100,2025-12-07 13:55:37.168988
S0001,QZ_STA,Statistics,76,100,2025-08-17 13:55:37.168988
S0001,QZ_STA,Statistics,60,100,2025-12-30 13:55:37.168988
S0001,QZ_ML ,ML Basics,67,100,2025-10-16 13:55:37.168988
S0001,QZ_ML ,ML Basics,52,100,2025-07-31 13:55:37.168988
S0001,QZ_DEE,Deep Learning,76,100,2026-01-10 13:55:37.168988
S0001,QZ_DEE,Deep Learning,84,100,2025-08-29 13:55:37.168988
S0001,QZ_DEE,Deep Learning,41,100,2025-11-11 13:55:37.168988
S0001,QZ_NLP,NLP,34,100,2025-10-01 13:55:37.168988
S0001,QZ_NLP,NLP,67,100,2025-09-22 13:55:37.168988
S0001,QZ_NLP,NLP,94,100,2025-10-26 13:55:37.168988
S0001,QZ_COM,Computer Vision,89,100,2025-10-15 13:55:37.168988
S0001,QZ_COM,Computer Vision,42,100,2025-09-04 13:55:37.168988
S0001,QZ_COM,Computer Vision,41,100,2025-08-12 13:55:37.168988
S0001,QZ_COM,Computer Vision,65,100,2025-11-13 13:55:37.168988
S0001,QZ_OPT,Optimization,58,100,2025-09-24 13:55:37.168988
S0001,QZ_OPT,Optimization,42,100,2025-10-11 13:55:37.168988
S0002,QZ_LIN,Linear Algebra,92,100,2025-11-24 13:55:37.168988
S0002,QZ_LIN,Linear Algebra,46,100,2025-11-14 13:55:37.168988
S0002,QZ_PRO,Probability,34,100,2025-07-27 13:55:37.168988
S0002,QZ_PRO,Probability,51,100,2025-08-31 13:55:37.168988
S0002,QZ_PRO,Probability,75,100,2025-08-25 13:55:37.168988
S0002,QZ_STA,Statistics,69,100,2025-09-20 13:55:37.168988
S0002,QZ_STA,Statistics,65,100,2025-09-24 13:55:37.168988
S0002,QZ_STA,Statistics,59,100,2025-10-16 13:55:37.168988
S0002,QZ_ML ,ML Basics,89,100,2025-11-12 13:55:37.168988
S0002,QZ_ML ,ML Basics,87,100,2025-12-12 13:55:37.168988
S0002,QZ_ML ,ML Basics,47,100,2026-01-10 13:55:37.168988
S0002,QZ_DEE,Deep Learning,37,100,2025-08-31 13:55:37.168988
S0002,QZ_DEE,Deep Learning,51,100,2025-11-23 13:55:37.168988
S0002,QZ_DEE,Deep Learning,79,100,2025-08-22 13:55:37.168988
S0002,QZ_DEE,Deep Learning,95,100,2025-09-05 13:55:37.168988
S0002,QZ_NLP,NLP,98,100,2025-10-07 13:55:37.168988
S0002,QZ_NLP,NLP,51,100,2025-12-30 13:55:37.168988
S0002,QZ_NLP,NLP,77,100,2025-11-02 13:55:37.168988
S0002,QZ_COM,Computer Vision,26,100,2025-12-16 13:55:37.168988
S0002,QZ_COM,Computer Vision,48,100,2025-12-12 13:55:37.168988
S0002,QZ_COM,Computer Vision,51,100,2025-11-17 13:55:37.168988
S0002,QZ_OPT,Optimization,73,100,2025-08-17 13:55:37.168988
S0002,QZ_OPT,Optimization,51,100,2026-01-15 13:55:37.168988
S0003,QZ_LIN,Linear Algebra,93,100,2025-08-20 13:55:37.168988
S0003,QZ_LIN,Linear Algebra,34,100,2025-07-28 13:55:37.168988
S0003,QZ_LIN,Linear Algebra,73,100,2025-09-18 13:55:37.168988
S0003,QZ_PRO,Probability,53,100,2025-11-02 13:55:37.168988
S0003,QZ_PRO,Probability,79,100,2025-12-21 13:55:37.168988
S0003,QZ_PRO,Probability,99,100,2025-08-22 13:55:37.168988
S0003,QZ_PRO,Probability,87,100,2025-07-24 13:55:37.168988
S0003,QZ_STA,Statistics,72,100,2025-09-16 13:55:37.168988
S0003,QZ_STA,Statistics,25,100,2025-10-11 13:55:37.168988
S0003,QZ_ML ,ML Basics,89,100,2026-01-10 13:55:37.168988
S0003,QZ_ML ,ML Basics,82,100,2025-08-21 13:55:37.168988
S0003,QZ_ML ,ML Basics,44,100,2026-01-03 13:55:37.168988
S0003,QZ_ML ,ML Basics,89,100,2026-01-10 13:55:37.168988
S0003,QZ_DEE,Deep Learning,82,100,2025-11-05 13:55:37.168988
S0003,QZ_DEE,Deep Learning,90,100,2025-09-15 13:55:37.168988
S0003,QZ_DEE,Deep Learning,64,100,2025-09-13 13:55:37.168988
S0003,QZ_DEE,Deep Learning,61,100,2025-12-15 13:55:37.168988
S0003,QZ_NLP,NLP,54,100,2025-08-07 13:55:37.168988
S0003,QZ_NLP,NLP,45,100,2025-12-10 13:55:37.168988
S0003,QZ_COM,Computer Vision,26,100,2025-11-01 13:55:37.168988
S0003,QZ_COM,Computer Vision,44,100,2025-09-04 13:55:37.168988
S0003,QZ_COM,Computer Vision,39,100,2025-10-19 13:55:37.168988
S0003,QZ_OPT,Optimization,64,100,2025-11-19 13:55:37.168988
S0003,QZ_OPT,Optimization,73,100,2025-08-21 13:55:37.168988
S0003,QZ_OPT,Optimization,53,100,2025-10-03 13:55:37.168988
S0003,QZ_OPT,Optimization,40,100,2025-09-08 13:55:37.168988
S0004,QZ_LIN,Linear Algebra,75,100,2025-10-04 13:55:37.168988
S0004,QZ_LIN,Linear Algebra,63,100,2025-10-29 13:55:37.168988
S0004,QZ_LIN,Linear Algebra,97,100,2025-11-27 13:55:37.168988
S0004,QZ_LIN,Linear Algebra,50,100,2025-10-02 13:55:37.168988
S0004,QZ_PRO,Probability,53,100,2025-12-08 13:55:37.168988
S0004,QZ_PRO,Probability,61,100,2025-11-14 13:55:37.168988
S0004,QZ_STA,Statistics,64,100,2025-07-23 13:55:37.168988
S0004,QZ_STA,Statistics,66,100,2025-07-25 13:55:37.168988
S0004,QZ_ML ,ML Basics,44,100,2025-11-01 13:55:37.168988
S0004,QZ_ML ,ML Basics,64,100,2025-09-14 13:55:37.168988
S0004,QZ_ML ,ML Basics,43,100,2025-08-30 13:55:37.168988
S0004,QZ_DEE,Deep Learning,52,100,2025-08-06 13:55:37.168988
S0004,QZ_DEE,Deep Learning,30,100,2025-10-29 13:55:37.168988
S0004,QZ_NLP,NLP,86,100,2025-08-29 13:55:37.168988
S0004,QZ_NLP,NLP,93,100,2025-08-14 13:55:37.168988
S0004,QZ_NLP,NLP,94,100,2025-12-24 13:55:37.168988
S0004,QZ_COM,Computer Vision,57,100,2025-07-22 13:55:37.168988
S0004,QZ_COM,Computer Vision,50,100,2025-08-31 13:55:37.168988
S0004,QZ_COM,Computer Vision,85,100,2025-11-04 13:55:37.168988
S0004,QZ_COM,Computer Vision,59,100,2025-12-21 13:55:37.168988
S0004,QZ_OPT,Optimization,98,100,2025-12-14 13:55:37.168988
S0004,QZ_OPT,Optimization,27,100,2025-08-02 13:55:37.168988
S0004,QZ_OPT,Optimization,50,100,2026-01-12 13:55:37.168988
S0004,QZ_OPT,Optimization,53,100,2025-09-17 13:55:37.168988
S0005,QZ_LIN,Linear Algebra,25,100,2025-09-16 13:55:37.168988
S0005,QZ_LIN,Linear Algebra,68,100,2025-11-16 13:55:37.168988
S0005,QZ_PRO,Probability,65,100,2025-08-05 13:55:37.168988
S0005,QZ_PRO,Probability,91,100,2025-12-03 13:55:37.168988
S0005,QZ_STA,Statistics,26,100,2025-10-11 13:55:37.168988
S0005,QZ_STA,Statistics,26,100,2025-11-23 13:55:37.168988
S0005,QZ_STA,Statistics,52,100,2025-11-10 13:55:37.168988
S0005,QZ_ML ,ML Basics,86,100,2025-09-08 13:55:37.168988
S0005,QZ_ML ,ML Basics,32,100,2025-07-30 13:55:37.168988
S0005,QZ_ML ,ML Basics,94,100,2025-09-17 13:55:37.168988
S0005,QZ_DEE,Deep Learning,82,100,2026-01-05 13:55:37.168988
S0005,QZ_DEE,Deep Learning,34,100,2025-11-05 13:55:37.168988
S0005,QZ_DEE,Deep Learning,47,100,2025-11-20 13:55:37.168988
S0005,QZ_NLP,NLP,75,100,2025-07-28 13:55:37.168988
S0005,QZ_NLP,NLP,60,100,2025-12-07 13:55:37.168988
S0005,QZ_NLP,NLP,37,100,2025-08-21 13:55:37.168988
S0005,QZ_COM,Computer Vision,25,100,2025-12-08 13:55:37.168988
S0005,QZ_COM,Computer Vision,39,100,2026-01-06 13:55:37.168988
S0005,QZ_COM,Computer Vision,40,100,2025-08-06 13:55:37.168988
S0005,QZ_COM,Computer Vision,30,100,2025-10-13 13:55:37.168988
