student_id,date,lecture_id,attendance,engagement_score
S0001,2025-07-21 13:55:37.168988,8,1,67
S0001,2025-07-22 13:55:37.168988,3,1,91
S0001,2025-07-23 13:55:37.168988,5,0,41
S0001,2025-07-24 13:55:37.168988,6,1,76
S0001,2025-07-25 13:55:37.168988,14,0,50
S0001,2025-07-26 13:55:37.168988,12,0,58
S0001,2025-07-27 13:55:37.168988,11,1,77
S0001,2025-07-28 13:55:37.168988,14,1,80
S0001,2025-07-29 13:55:37.168988,3,0,36
S0001,2025-07-30 13:55:37.168988,2,1,61
S0001,2025-07-31 13:55:37.168988,10,1,66
S0001,2025-08-01 13:55:37.168988,12,1,54
S0001,2025-08-02 13:55:37.168988,13,1,59
S0001,2025-08-03 13:55:37.168988,1,1,87
S0001,2025-08-04 13:55:37.168988,2,1,92
S0001,2025-08-05 13:55:37.168988,13,1,56
S0001,2025-08-06 13:55:37.168988,2,1,78
S0001,2025-08-07 13:55:37.168988,8,1,88
S0001,2025-08-08 13:55:37.168988,13,1,92
S0001,2025-08-09 13:55:37.168988,9,1,76
S0001,2025-08-10 13:55:37.168988,13,1,81
S0001,2025-08-11 13:55:37.168988,8,0,36
S0001,2025-08-12 13:55:37.168988,11,1,60
S0001,2025-08-13 13:55:37.168988,3,0,43
S0001,2025-08-14 13:55:37.168988,7,1,57
S0001,2025-08-15 13:55:37.168988,9,1,80
S0001,2025-08-16 13:55:37.168988,7,1,86
S0001,2025-08-17 13:55:37.168988,3,1,76
S0001,2025-08-18 13:55:37.168988,3,1,74
S0001,2025-08-19 13:55:37.168988,14,1,89
S0001,2025-08-20 13:55:37.168988,7,1,57
S0001,2025-08-21 13:55:37.168988,9,1,91
S0001,2025-08-22 13:55:37.168988,12,1,78
S0001,2025-08-23 13:55:37.168988,1,0,63
S0001,2025-08-24 13:55:37.168988,14,1,84
S0001,2025-08-25 13:55:37.168988,11,0,64
S0001,2025-08-26 13:55:37.168988,11,0,44
S0001,2025-08-27 13:55:37.168988,10,1,80
S0001,2025-08-28 13:55:37.168988,12,1,58
S0001,2025-08-29 13:55:37.168988,14,0,44
S0001,2025-08-30 13:55:37.168988,7,1,80
S0001,2025-08-31 13:55:37.168988,11,1,53
S0001,2025-09-01 13:55:37.168988,3,1,65
S0001,2025-09-02 13:55:37.168988,9,0,35
S0001,2025-09-03 13:55:37.168988,10,1,85
S0001,2025-09-04 13:55:37.168988,6,1,67
S0001,2025-09-05 13:55:37.168988,4,0,53
S0001,2025-09-06 13:55:37.168988,7,1,64
S0001,2025-09-07 13:55:37.168988,8,1,89
S0001,2025-09-08 13:55:37.168988,12,0,38
S0001,2025-09-09 13:55:37.168988,1,0,74
S0001,2025-09-10 13:55:37.168988,12,0,35
S0001,2025-09-11 13:55:37.168988,4,1,58
S0001,2025-09-12 13:55:37.168988,6,0,40
S0001,2025-09-13 13:55:37.168988,6,1,86
S0001,2025-09-14 13:55:37.168988,9,1,68
S0001,2025-09-15 13:55:37.168988,3,1,58
S0001,2025-09-16 13:55:37.168988,10,1,88
S0001,2025-09-17 13:55:37.168988,7,1,71
S0001,2025-09-18 13:55:37.168988,7,0,63
S0001,2025-09-19 13:55:37.168988,12,1,53
S0001,2025-09-20 13:55:37.168988,14,1,75
S0001,2025-09-21 13:55:37.168988,10,1,59
S0001,2025-09-22 13:55:37.168988,14,1,54
S0001,2025-09-23 13:55:37.168988,7,1,89
S0001,2025-09-24 13:55:37.168988,3,1,87
S0001,2025-09-25 13:55:37.168988,4,1,85
S0001,2025-09-26 13:55:37.168988,6,0,42
S0001,2025-09-27 13:55:37.168988,9,1,87
S0001,2025-09-28 13:55:37.168988,14,1,81
S0001,2025-09-29 13:55:37.168988,9,1,87
S0001,2025-09-30 13:55:37.168988,14,0,41
S0001,2025-10-01 13:55:37.168988,8,1,72
S0001,2025-10-02 13:55:37.168988,12,1,69
S0001,2025-10-03 13:55:37.168988,6,1,74
S0001,2025-10-04 13:55:37.168988,13,0,70
S0001,2025-10-05 13:55:37.168988,11,1,60
S0001,2025-10-06 13:55:37.168988,12,1,82
S0001,2025-10-07 13:55:37.168988,12,1,85
S0001,2025-10-08 13:55:37.168988,3,1,71
S0001,2025-10-09 13:55:37.168988,12,1,69
S0001,2025-10-10 13:55:37.168988,12,1,58
S0001,2025-10-11 13:55:37.168988,1,0,49
S0001,2025-10-12 13:55:37.168988,12,1,83
S0001,2025-10-13 13:55:37.168988,1,1,73
S0001,2025-10-14 13:55:37.168988,10,1,70
S0001,2025-10-15 13:55:37.168988,14,1,55
S0001,2025-10-16 13:55:37.168988,6,0,55
S0001,2025-10-17 13:55:37.168988,2,1,79
S0001,2025-10-18 13:55:37.168988,9,1,92
S0001,2025-10-19 13:55:37.168988,10,1,91
S0001,2025-10-20 13:55:37.168988,9,1,87
S0001,2025-10-21 13:55:37.168988,4,1,59
S0001,2025-10-22 13:55:37.168988,14,1,53
S0001,2025-10-23 13:55:37.168988,7,1,64
S0001,2025-10-24 13:55:37.168988,7,0,70
S0001,2025-10-25 13:55:37.168988,14,1,77
S0001,2025-10-26 13:55:37.168988,4,1,74
S0001,2025-10-27 13:55:37.168988,11,0,47
S0001,2025-10-28 13:55:37.168988,5,0,63
S0001,2025-10-29 13:55:37.168988,4,1,57
S0001,2025-10-30 13:55:37.168988,14,1,84
S0001,2025-10-31 13:55:37.168988,13,1,92
S0001,2025-11-01 13:55:37.168988,1,1,82
S0001,2025-11-02 13:55:37.168988,10,1,71
S0001,2025-11-03 13:55:37.168988,5,0,65
S0001,2025-11-04 13:55:37.168988,5,0,35
S0001,2025-11-05 13:55:37.168988,2,0,24
S0001,2025-11-06 13:55:37.168988,13,0,55
S0001,2025-11-07 13:55:37.168988,7,1,68
S0001,2025-11-08 13:55:37.168988,13,1,57
S0001,2025-11-09 13:55:37.168988,3,1,64
S0001,2025-11-10 13:55:37.168988,12,1,81
S0001,2025-11-11 13:55:37.168988,14,0,54
S0001,2025-11-12 13:55:37.168988,10,1,64
S0001,2025-11-13 13:55:37.168988,1,1,91
S0001,2025-11-14 13:55:37.168988,10,1,89
S0001,2025-11-15 13:55:37.168988,2,1,57
S0001,2025-11-16 13:55:37.168988,3,1,62
S0001,2025-11-17 13:55:37.168988,5,1,53
S0001,2025-11-18 13:55:37.168988,7,1,68
S0001,2025-11-19 13:55:37.168988,4,1,80
S0001,2025-11-20 13:55:37.168988,1,1,87
S0001,2025-11-21 13:55:37.168988,3,1,89
S0001,2025-11-22 13:55:37.168988,11,1,92
S0001,2025-11-23 13:55:37.168988,14,0,39
S0001,2025-11-24 13:55:37.168988,1,0,66
S0001,2025-11-25 13:55:37.168988,10,1,81
S0001,2025-11-26 13:55:37.168988,9,0,69
S0001,2025-11-27 13:55:37.168988,8,1,63
S0001,2025-11-28 13:55:37.168988,9,1,73
S0001,2025-11-29 13:55:37.168988,8,1,89
S0001,2025-11-30 13:55:37.168988,2,1,87
S0001,2025-12-01 13:55:37.168988,7,1,84
S0001,2025-12-02 13:55:37.168988,1,1,89
S0001,2025-12-03 13:55:37.168988,3,1,75
S0001,2025-12-04 13:55:37.168988,14,0,54
S0001,2025-12-05 13:55:37.168988,13,1,77
S0001,2025-12-06 13:55:37.168988,13,1,88
S0001,2025-12-07 13:55:37.168988,7,1,64
S0001,2025-12-08 13:55:37.168988,3,1,83
S0001,2025-12-09 13:55:37.168988,5,1,68
S0001,2025-12-10 13:55:37.168988,11,1,77
S0001,2025-12-11 13:55:37.168988,7,0,52
S0001,2025-12-12 13:55:37.168988,10,0,63
S0001,2025-12-13 13:55:37.168988,11,1,75
S0001,2025-12-14 13:55:37.168988,10,1,64
S0001,2025-12-15 13:55:37.168988,6,1,69
S0001,2025-12-16 13:55:37.168988,10,0,43
S0001,2025-12-17 13:55:37.168988,2,1,79
S0001,2025-12-18 13:55:37.168988,3,0,69
S0001,2025-12-19 13:55:37.168988,4,1,53
S0001,2025-12-20 13:55:37.168988,13,0,36
S0001,2025-12-21 13:55:37.168988,3,1,58
S0001,2025-12-22 13:55:37.168988,10,1,91
S0001,2025-12-23 13:55:37.168988,3,1,91
S0001,2025-12-24 13:55:37.168988,10,1,80
S0001,2025-12-25 13:55:37.168988,9,1,60
S0001,2025-12-26 13:55:37.168988,12,1,55
S0001,2025-12-27 13:55:37.168988,1,1,77
S0001,2025-12-28 13:55:37.168988,12,0,34
S0001,2025-12-29 13:55:37.168988,5,1,73
S0001,2025-12-30 13:55:37.168988,3,1,89
S0001,2025-12-31 13:55:37.168988,9,1,70
S0001,2026-01-01 13:55:37.168988,1,0,38
S0001,2026-01-02 13:55:37.168988,9,1,55
S0001,2026-01-03 13:55:37.168988,6,1,62
S0001,2026-01-04 13:55:37.168988,8,1,80
S0001,2026-01-05 13:55:37.168988,8,0,64
S0001,2026-01-06 13:55:37.168988,5,1,80
S0001,2026-01-07 13:55:37.168988,1,1,79
S0001,2026-01-08 13:55:37.168988,12,1,72
S0001,2026-01-09 13:55:37.168988,3,1,65
S0001,2026-01-10 13:55:37.168988,5,1,70
S0001,2026-01-11 13:55:37.168988,8,1,54
S0001,2026-01-12 13:55:37.168988,8,1,57
S0001,2026-01-13 13:55:37.168988,1,1,53
S0001,2026-01-14 13:55:37.168988,9,1,78
S0001,2026-01-15 13:55:37.168988,13,1,79
S0001,2026-01-16 13:55:37.168988,1,0,58
S0002,2025-07-21 13:55:37.168988,1,0,14
S0002,2025-07-22 13:55:37.168988,3,1,39
S0002,2025-07-23 13:55:37.168988,5,1,71
S0002,2025-07-24 13:55:37.168988,5,1,53
S0002,2025-07-25 13:55:37.168988,13,1,35
S0002,2025-07-26 13:55:37.168988,8,1,35
S0002,2025-07-27 13:55:37.168988,8,1,62
S0002,2025-07-28 13:55:37.168988,6,0,48
S0002,2025-07-29 13:55:37.168988,6,1,46
S0002,2025-07-30 13:55:37.168988,11,1,64
S0002,2025-07-31 13:55:37.168988,5,1,57
S0002,2025-08-01 13:55:37.168988,3,1,36
S0002,2025-08-02 13:55:37.168988,2,1,68
S0002,2025-08-03 13:55:37.168988,11,1,64
S0002,2025-08-04 13:55:37.168988,9,0,50
S0002,2025-08-05 13:55:37.168988,12,1,58
S0002,2025-08-06 13:55:37.168988,13,1,51
S0002,2025-08-07 13:55:37.168988,1,0,27
S0002,2025-08-08 13:55:37.168988,2,1,58
S0002,2025-08-09 13:55:37.168988,14,1,36
S0002,2025-08-10 13:55:37.168988,9,1,45
S0002,2025-08-11 13:55:37.168988,11,1,50
S0002,2025-08-12 13:55:37.168988,8,0,24
S0002,2025-08-13 13:55:37.168988,3,1,59
S0002,2025-08-14 13:55:37.168988,13,1,66
S0002,2025-08-15 13:55:37.168988,5,0,34
S0002,2025-08-16 13:55:37.168988,6,1,56
S0002,2025-08-17 13:55:37.168988,14,0,22
S0002,2025-08-18 13:55:37.168988,13,1,48
S0002,2025-08-19 13:55:37.168988,9,1,60
S0002,2025-08-20 13:55:37.168988,13,1,64
S0002,2025-08-21 13:55:37.168988,8,0,55
S0002,2025-08-22 13:55:37.168988,8,1,49
S0002,2025-08-23 13:55:37.168988,7,1,60
S0002,2025-08-24 13:55:37.168988,10,1,36
S0002,2025-08-25 13:55:37.168988,7,0,24
S0002,2025-08-26 13:55:37.168988,6,1,52
S0002,2025-08-27 13:55:37.168988,7,1,49
S0002,2025-08-28 13:55:37.168988,9,1,44
S0002,2025-08-29 13:55:37.168988,14,1,56
S0002,2025-08-30 13:55:37.168988,4,0,24
S0002,2025-08-31 13:55:37.168988,9,1,44
S0002,2025-09-01 13:55:37.168988,6,1,70
S0002,2025-09-02 13:55:37.168988,1,1,42
S0002,2025-09-03 13:55:37.168988,4,1,71
S0002,2025-09-04 13:55:37.168988,8,1,68
S0002,2025-09-05 13:55:37.168988,9,1,40
S0002,2025-09-06 13:55:37.168988,6,0,37
S0002,2025-09-07 13:55:37.168988,11,1,38
S0002,2025-09-08 13:55:37.168988,8,0,35
S0002,2025-09-09 13:55:37.168988,8,1,37
S0002,2025-09-10 13:55:37.168988,6,1,58
S0002,2025-09-11 13:55:37.168988,4,1,62
S0002,2025-09-12 13:55:37.168988,6,0,42
S0002,2025-09-13 13:55:37.168988,11,1,36
S0002,2025-09-14 13:55:37.168988,10,1,39
S0002,2025-09-15 13:55:37.168988,1,1,53
S0002,2025-09-16 13:55:37.168988,1,1,46
S0002,2025-09-17 13:55:37.168988,14,1,72
S0002,2025-09-18 13:55:37.168988,11,0,43
S0002,2025-09-19 13:55:37.168988,8,1,40
S0002,2025-09-20 13:55:37.168988,12,0,33
S0002,2025-09-21 13:55:37.168988,4,0,58
